sample_idx,t,abs_frame,pos_err_mm,ee_speed_mm_s,joint_vel_norm,control_lag_mm
0,0,0,3.260,381.860,5.1006,38.186
0,1,1,6.842,1067.142,3.8049,106.714
0,2,2,8.114,2.912,0.2984,0.291
0,3,3,1.209,0.002,0.0304,0.000
0,4,4,1.003,0.001,0.0304,0.000
0,5,5,0.796,0.002,0.0304,0.000
0,6,6,0.538,0.003,0.0304,0.000
0,7,7,0.660,0.001,0.0304,0.000
0,8,8,0.472,0.002,0.0304,0.000
0,9,9,0.869,0.003,0.0304,0.000
0,10,10,0.948,0.001,0.0304,0.000
0,11,11,1.885,3426.070,0.0304,0.000
0,12,12,4.254,0.000,0.0304,342.607
0,13,13,2.131,0.000,0.0304,162.445
0,14,14,1.986,0.000,5.7688,19.523
0,15,15,1.474,258.819,2.9778,0.118
1,0,1,4.387,1067.142,3.8049,106.714
1,1,2,2.107,2.912,0.2984,0.291
1,2,3,1.571,0.002,0.0304,0.000
1,3,4,0.697,0.001,0.0304,0.000
1,4,5,1.246,0.002,0.0304,0.000
1,5,6,1.354,0.003,0.0304,0.000
1,6,7,1.052,0.001,0.0304,0.000
1,7,8,0.651,0.002,0.0304,0.000
1,8,9,0.568,0.003,0.0304,0.000
1,9,10,1.882,0.001,0.0304,0.000
1,10,11,2.082,3426.070,0.0304,0.000
1,11,12,0.656,0.000,0.0304,342.607
1,12,13,0.651,0.000,0.0304,162.445
1,13,14,0.788,0.000,5.7688,19.523
1,14,15,1.660,258.819,2.9778,0.118
1,15,16,0.384,0.000,0.0154,25.741
2,0,2,2.234,2.912,0.2984,0.291
2,1,3,1.800,0.002,0.0304,0.000
2,2,4,1.763,0.001,0.0304,0.000
2,3,5,3.172,0.002,0.0304,0.000
2,4,6,2.757,0.003,0.0304,0.000
2,5,7,0.355,0.001,0.0304,0.000
2,6,8,1.280,0.002,0.0304,0.000
2,7,9,0.865,0.003,0.0304,0.000
2,8,10,1.231,0.001,0.0304,0.000
2,9,11,0.757,3426.070,0.0304,0.000
2,10,12,1.252,0.000,0.0304,342.607
2,11,13,0.966,0.000,0.0304,162.445
2,12,14,0.720,0.000,5.7688,19.523
2,13,15,0.776,258.819,2.9778,0.118
2,14,16,0.731,0.000,0.0154,25.741
2,15,17,0.538,241.182,0.0153,2.779
3,0,3,0.559,0.002,0.0304,0.000
3,1,4,0.568,0.001,0.0304,0.000
3,2,5,0.353,0.002,0.0304,0.000
3,3,6,0.192,0.003,0.0304,0.000
3,4,7,0.234,0.001,0.0304,0.000
3,5,8,0.665,0.002,0.0304,0.000
3,6,9,0.287,0.003,0.0304,0.000
3,7,10,0.741,0.001,0.0304,0.000
3,8,11,0.686,3426.070,0.0304,0.000
3,9,12,0.523,0.000,0.0304,342.607
3,10,13,0.776,0.000,0.0304,162.445
3,11,14,0.767,0.000,5.7688,19.523
3,12,15,0.141,258.819,2.9778,0.118
3,13,16,0.655,0.000,0.0154,25.741
3,14,17,1.287,241.182,0.0153,2.779
3,15,18,0.621,0.000,0.0147,23.344
4,0,4,0.539,0.001,0.0304,0.000
4,1,5,0.959,0.002,0.0304,0.000
4,2,6,0.562,0.003,0.0304,0.000
4,3,7,0.765,0.001,0.0304,0.000
4,4,8,0.550,0.002,0.0304,0.000
4,5,9,0.361,0.003,0.0304,0.000
4,6,10,0.554,0.001,0.0304,0.000
4,7,11,0.513,3426.070,0.0304,0.000
4,8,12,0.702,0.000,0.0304,342.607
4,9,13,0.660,0.000,0.0304,162.445
4,10,14,1.468,0.000,5.7688,19.523
4,11,15,0.201,258.819,2.9778,0.118
4,12,16,0.401,0.000,0.0154,25.741
4,13,17,1.066,241.182,0.0153,2.779
4,14,18,1.383,0.000,0.0147,23.344
4,15,19,0.808,207.106,0.0147,3.566
5,0,5,0.217,0.002,0.0304,0.000
5,1,6,0.428,0.003,0.0304,0.000
5,2,7,0.442,0.001,0.0304,0.000
5,3,8,0.466,0.002,0.0304,0.000
5,4,9,0.587,0.003,0.0304,0.000
5,5,10,0.794,0.001,0.0304,0.000
5,6,11,1.014,3426.070,0.0304,0.000
5,7,12,1.024,0.000,0.0304,342.607
5,8,13,0.422,0.000,0.0304,162.445
5,9,14,0.632,0.000,5.7688,19.523
5,10,15,0.481,258.819,2.9778,0.118
5,11,16,0.580,0.000,0.0154,25.741
5,12,17,0.114,241.182,0.0153,2.779
5,13,18,0.269,0.000,0.0147,23.344
5,14,19,0.399,207.106,0.0147,3.566
5,15,20,0.850,158.919,0.0140,19.787
6,0,6,0.744,0.003,0.0304,0.000
6,1,7,0.441,0.001,0.0304,0.000
6,2,8,0.533,0.002,0.0304,0.000
6,3,9,0.930,0.003,0.0304,0.000
6,4,10,0.637,0.001,0.0304,0.000
6,5,11,1.950,3426.070,0.0304,0.000
6,6,12,0.748,0.000,0.0304,342.607
6,7,13,0.707,0.000,0.0304,162.445
6,8,14,0.394,0.000,5.7688,19.523
6,9,15,0.237,258.819,2.9778,0.118
6,10,16,0.560,0.000,0.0154,25.741
6,11,17,0.525,241.182,0.0153,2.779
6,12,18,1.331,0.000,0.0147,23.344
6,13,19,0.512,207.106,0.0147,3.566
6,14,20,0.535,158.919,0.0140,19.787
6,15,21,1.167,99.900,0.0140,15.085
7,0,7,5.618,0.001,0.0304,0.000
7,1,8,0.896,0.002,0.0304,0.000
7,2,9,0.862,0.003,0.0304,0.000
7,3,10,0.606,0.001,0.0304,0.000
7,4,11,342.910,3426.070,0.0304,0.000
7,5,12,0.597,0.000,0.0304,342.607
7,6,13,1.252,0.000,0.0304,162.445
7,7,14,1.000,0.000,5.7688,19.523
7,8,15,26.120,258.819,2.9778,0.118
7,9,16,0.720,0.000,0.0154,25.741
7,10,17,24.030,241.182,0.0153,2.779
7,11,18,0.542,0.000,0.0147,23.344
7,12,19,20.910,207.106,0.0147,3.566
7,13,20,15.991,158.919,0.0140,19.787
7,14,21,8.929,99.900,0.0140,15.085
7,15,22,3.201,34.075,0.0132,9.469
8,0,8,4.147,0.002,0.0304,0.000
8,1,9,1.246,0.003,0.0304,0.000
8,2,10,340.295,0.001,0.0304,0.000
8,3,11,341.973,3426.070,0.0304,0.000
8,4,12,0.321,0.000,0.0304,342.607
8,5,13,0.729,0.000,0.0304,162.445
8,6,14,26.092,0.000,5.7688,19.523
8,7,15,25.261,258.819,2.9778,0.118
8,8,16,23.828,0.000,0.0154,25.741
8,9,17,23.304,241.182,0.0153,2.779
8,10,18,21.734,0.000,0.0147,23.344
8,11,19,35.724,207.106,0.0147,3.566
8,12,20,24.595,158.919,0.0140,19.787
8,13,21,12.850,99.900,0.0140,15.085
8,14,22,2.717,34.075,0.0132,9.469
8,15,23,0.780,0.000,0.0126,3.199
9,0,9,0.769,0.003,0.0304,0.000
9,1,10,0.807,0.001,0.0304,0.000
9,2,11,0.743,3426.070,0.0304,0.000
9,3,12,1.690,0.000,0.0304,342.607
9,4,13,1.945,0.000,0.0304,162.445
