sample_idx,t,abs_frame,pos_err_mm,ee_speed_mm_s,joint_vel_norm,control_lag_mm
0,0,0,1.101,1000.000,0.0107,1.806
0,1,1,1.367,32.048,0.0107,3.205
0,2,2,1.369,32.085,2.7134,3.209
0,3,3,2.572,1605.912,0.0139,160.591
0,4,4,2.202,1474.513,6.3744,147.451
0,5,5,1.265,1003.004,4.4897,100.300
0,6,6,0.878,432.487,2.4004,43.249
0,7,7,0.978,0.006,0.0300,0.001
0,8,8,0.939,0.002,0.0304,0.000
0,9,9,1.435,0.002,0.0304,0.000
0,10,10,0.776,0.000,0.0304,0.000
0,11,11,1.334,0.000,0.0304,0.000
0,12,12,1.219,0.000,0.0304,0.000
0,13,13,0.678,0.000,0.0304,0.000
0,14,14,1.591,0.000,0.0304,0.000
0,15,15,1.776,0.000,0.0304,0.000
1,0,1,0.972,32.048,0.0107,3.205
1,1,2,1.215,32.085,2.7134,3.209
1,2,3,0.786,1605.912,0.0139,160.591
1,3,4,1.706,1474.513,6.3744,147.451
1,4,5,0.762,1003.004,4.4897,100.300
1,5,6,3.377,432.487,2.4004,43.249
1,6,7,0.807,0.006,0.0300,0.001
1,7,8,0.623,0.002,0.0304,0.000
1,8,9,0.841,0.002,0.0304,0.000
1,9,10,0.237,0.000,0.0304,0.000
1,10,11,0.313,0.000,0.0304,0.000
1,11,12,0.286,0.000,0.0304,0.000
1,12,13,0.541,0.000,0.0304,0.000
1,13,14,0.843,0.000,0.0304,0.000
1,14,15,0.752,0.000,0.0304,0.000
1,15,16,0.630,3806.016,0.0304,0.000
2,0,2,1.220,32.085,2.7134,3.209
2,1,3,0.775,1605.912,0.0139,160.591
2,2,4,3.259,1474.513,6.3744,147.451
2,3,5,2.986,1003.004,4.4897,100.300
2,4,6,12.631,432.487,2.4004,43.249
2,5,7,0.728,0.006,0.0300,0.001
2,6,8,0.820,0.002,0.0304,0.000
2,7,9,1.089,0.002,0.0304,0.000
2,8,10,0.854,0.000,0.0304,0.000
2,9,11,1.077,0.000,0.0304,0.000
2,10,12,0.701,0.000,0.0304,0.000
2,11,13,1.082,0.000,0.0304,0.000
